alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1787085624.7002,elite,2843.0916404966,1783684576.4766,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Atlanta,"North America",NA,"United States",US,,false,"Global Connectivity Solutions LLP",33.7501,-84.3885,false,"Global Connectivity Solutions LLP",true,Georgia,success,America/New_York,30302,1786707618,1787085683.352,1082,socks5,147.45.60.246:1082,true,627.44975090027,47354,32395,59.3788009881,147.45.60.246
true,1787085003.7483,elite,1735.8762633355,1783536482.71,"AS51167 Contabo GmbH",CONTABO,Lauterbourg,Europe,EU,France,FR,,true,"Contabo GmbH",48.9742,8.1851,false,"Contabo GmbH",true,"Grand Est",success,Europe/Paris,67630,1786559774,1787085683.3281,1088,socks5,185.185.80.58:1088,true,2353.7945747375,139245,872,99.377662953103,185.185.80.58
true,1787085683.2846,elite,8330.7882548837,1786200965.5779,"AS137535 JT TELECOM INTERNATIONAL PTE.LTD.",JTIP-AS-AP,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",false,"Hong Kong Communications International CO",1.35208,103.82,false,"Hong Kong Communications International Co., limited",false,"North West",success,Asia/Singapore,858877,1786804031,1787085683.2846,1080,socks5,177.5.74.74:1080,true,11335.575342178,42534,6161,87.347776979156,177.5.74.74
true,1787085683.259,elite,3363.590365962,1786106890.3945,"AS16637 MTN SA",MTNNS-AS,Johannesburg,Africa,AF,"South Africa",ZA,,false,"MTN SA",-26.2309,28.0583,false,"MTN SA",false,Gauteng,success,Africa/Johannesburg,2031,1786709189,1787085683.259,5678,socks4,105.214.99.21:5678,true,8140.6190395355,16357,23419,41.122787610619,105.214.99.21
true,1787085665.2653,elite,5830.6949786122,1786394867.5922,"AS30873 Public Telecommunication Corporation",PTC-YemenNet,Sanaa,Asia,AS,Yemen,YE,,false,"Public Telecommunication Corporation",15.3522,44.2095,false,"AS12486 annoucement YemenNet -Grp3",true,"Amanat Alasimah",success,Asia/Aden,,1786999697,1787085683.2561,9050,socks4,82.114.181.147:9050,true,2964.7476673126,18692,12760,59.430242909831,82.114.181.147
true,1787085683.2194,elite,4847.0226288677,1783732520.5552,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,"Hong Kong",Asia,AS,"Hong Kong",HK,,true,"Alibaba Cloud LLC",22.3193,114.169,false,"Alibaba Cloud - HK",true,Kowloon,success,Asia/Hong_Kong,999077,1786753412,1787085683.2194,80,socks5,47.239.140.6:80,true,2131.2668323517,18269,43424,29.612759956559,47.239.140.6
true,1787085683.1937,transparent,6081.1223017472,1786673698.4789,"AS141606 PT Sembilan Mediadata Nusaraya",IDNIC-SMN-AS-ID,Ponorogo,Asia,AS,Indonesia,ID,,false,"PT Sembilan Mediadata Nusaraya",-7.8685,111.462,false,"PT Sembilan Mediadata Nusaraya",true,"East Java",success,Asia/Jakarta,,1786671986,1787085683.1937,8888,http,103.160.202.218:8888,true,10328.137397766,1438,2879,33.310169098911,103.160.202.218
true,1787085600.7863,elite,9954.7588896437,1780912981.1853,"AS20473 The Constant Company, LLC",AS-VULTR,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"The Constant Company, LLC",50.1103,8.7147,false,"Vultr Holdings LLC Frankfurt",true,Hesse,success,Europe/Berlin,60314,1786960595,1787085683.1902,9050,socks5,199.247.18.115:9050,true,9531.730890274,31168,59380,34.421522286522,199.247.18.115
true,1787085679.7279,elite,8563.4858401985,1776087506.4341,"AS31898 Oracle Corporation",ORACLE-BMC-31898,Phoenix,"North America",NA,"United States",US,,true,"Oracle Corporation",33.4656,-111.9956,false,"Oracle Cloud Infrastructure (us-phoenix-1)",true,Arizona,success,America/Phoenix,85008,1786565137,1787085683.1841,1080,socks5,158.101.8.92:1080,true,7318.8183307648,53698,57743,48.185138324315,158.101.8.92
true,1787084693.1178,elite,1848.94498082,1782579916.1023,"AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED",UCLOUD-HK-AS-AP,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Zenlayer Inc",1.35208,103.82,false,UCLOUD,true,"North West",success,Asia/Singapore,858877,1786812415,1787085683.1029,10808,socks5,45.43.63.37:10808,true,968.63508224487,152046,6636,95.818051196733,45.43.63.37
true,1787085693.9032,elite,4672.4782453301,1783647265.0899,"AS40004 CONRADIT, LLC",CONRAD,"Tsuen Wan",Asia,AS,"Hong Kong",HK,,false,"CONRADIT, LLC",22.3638,114.1091,false,"The Media Network Ltd",true,"Tsuen Wan District",success,Asia/Hong_Kong,,1786668131,1787085683.0902,6612,socks4,223.254.141.102:6612,true,14263.302564621,12604,85743,12.815845933277,223.254.141.102
true,1787085683.013,elite,1905.6094580067,1776088175.2854,"AS41682 JSC ER-Telecom Holding",ERTH-TMN-AS,Tyumen,Europe,EU,Russia,RU,,false,"JSC ""ER-Telecom Holding""",57.1533,65.5418,false,"JSC ""ER-Telecom Holding"" Tyumen' branch",true,"Tyumen Oblast",success,Asia/Yekaterinburg,625000,1786972350,1787085683.013,1080,socks4,89.250.148.158:1080,true,1344.41614151,163496,258197,38.771333647938,89.250.148.158
true,1787077657.0481,transparent,1721.2536338852,1783659259.8513,"AS4134 CHINANET BACKBONE",CHINANET-BACKBONE,Nanjing,Asia,AS,China,CN,,false,Chinanet,32.0607,118.763,false,"Chinanet JS",true,Jiangsu,success,Asia/Shanghai,210000,1786679765,1787085683.001,21000,http,114.236.137.41:21000,true,1182.067155838,53116,1139,97.900654317574,114.236.137.41
true,1787085682.9889,elite,12170.648890478,1786415422.9588,"AS49981 WorldStream B.V.",WorldStream,Paris,Europe,EU,France,FR,,true,"WorldStream B.V.",48.8558,2.3494,false,"Nitro Cloud",false,Île-de-France,success,Europe/Paris,75001,1787019487,1787085682.9889,9097,socks4,163.5.214.119:9097,true,15190.212965012,7346,14514,33.604757548033,163.5.214.119
true,1787085682.9876,transparent,7111.8436678572,1750602884.7471,"AS267823 ATENEA TELECOMUNICACIONES S.A.S","ATENEA TELECOMUNICACIONES S.A.S",Bucaramanga,"South America",SA,Colombia,CO,,false,"Atenea Telecomunicaciones",7.1274,-73.1191,false,"Servi Tecs Soluciones",true,"Santander Department",success,America/Bogota,680001,1786553885,1787085682.9876,999,http,24.152.58.22:999,false,4938.0958080292,15195,105035,12.638276636447,24.152.58.22
true,1787085682.9551,elite,2606.8349593427,1785280572.1599,"AS31898 Oracle Corporation",ORACLE-BMC-31898,"San Jose","North America",NA,"United States",US,,true,"Oracle Corporation",37.2329,-121.7875,false,"Oracle Cloud Infrastructure (us-sanjose-1)",true,California,success,America/Los_Angeles,95119,1786487077,1787085682.9551,50161,socks4,163.192.14.135:50161,true,1769.387960434,86952,28412,75.371866440137,163.192.14.135
true,1787085682.9454,transparent,5779.0006330369,1785836429.3639,"AS146954 IMJWANKLIK INTERNET COMMUNICATION SERVICES",IICS-AS-AP,"Quezon City",Asia,AS,Philippines,PH,,false,"Imjwanklik Internet Communication Services",14.6475,121.0494,false,"Imjwanklik Internet Communication Services",false,"Metro Manila",success,Asia/Manila,1100,1787044667,1787085682.9454,8083,http,103.25.220.34:8083,false,3991.6274547577,2097,9428,18.195227765727,103.25.220.34
true,1787085658.3093,elite,2516.6948707328,1776083102.1577,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Herndon,"North America",NA,"United States",US,,false,"Cox Communications Inc.",38.9251,-77.392,false,"Cox Communications",true,Virginia,success,America/New_York,20171,1786969637,1787085682.9003,4145,socks5,72.205.0.93:4145,true,3952.3470401764,97121,47937,66.953218712515,72.205.0.93
true,1787085682.891,elite,2718.4434294518,1783825099.5576,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Atlanta,"North America",NA,"United States",US,,false,"Global Connectivity Solutions LLP",33.7501,-84.3885,false,"Global Connectivity Solutions LLP",true,Georgia,success,America/New_York,30302,1786848472,1787085682.891,1082,socks4,147.45.60.241:1082,true,7586.2410068512,102506,61031,62.680616618869,147.45.60.241
true,1787085682.8544,transparent,5516.488764206,1783455493.9429,"AS24435 Supernet Limited Transit Autonomous System Number",SUPERNET-PAKISTAN-AS-AP,"Model Town",Asia,AS,Pakistan,PK,,false,Supernet,31.481,74.3256,false,"Telecard Limited",true,Punjab,success,Asia/Karachi,54700,1787082473,1787085682.8544,8080,http,116.0.53.37:8080,false,1705.735206604,8883,24573,26.551291248207,116.0.53.37
true,1787085682.8114,elite,1269.4457828753,1710540194.9678,"AS399869 Visionary Communications LLC",MTNBB,Nederland,"North America",NA,"United States",US,,false,"Visionary Communications LLC",39.9614,-105.5108,false,"Level 3",true,Colorado,success,America/Denver,80466,1786728334,1787085682.8114,39593,socks4,8.39.228.193:39593,true,599.09391403198,34990,682042,4.879837998862,8.39.228.193
true,1787085679.9448,elite,1800.7319891604,1785399470.2,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Paris,Europe,EU,France,FR,,false,"Global Connectivity Solutions LLP",48.8558,2.3494,false,"Global Connectivity Solutions LLP",true,Île-de-France,success,Europe/Paris,75001,1786608608,1787085682.788,1082,socks5,109.172.55.177:1082,true,1108.8352203369,37431,26881,58.202201766389,109.172.55.177
true,1787085682.756,transparent,5541.9177636117,1784263608.3078,"AS152769 PT Gopal Network Solusindo",IDNIC-GOPALNET-AS-ID,Ngawi,Asia,AS,Indonesia,ID,,false,Gopalnet,-7.5171,111.4124,false,"PT Trans Hybrid Communication",true,"East Java",success,Asia/Jakarta,63271,1786679506,1787085682.756,8112,http,157.15.0.144:8112,true,549.22246932983,7706,18398,29.520380018388,157.15.0.144
true,1787085175.9366,elite,3608.6540699005,1787076922.1509,"AS400619 AROSSCLOUD INC.",AROSS-AS,"Los Angeles","North America",NA,"United States",US,,true,"Arosscloud Inc.",33.972,-118.242,false,"Uscloud Inc",false,California,success,America/Los_Angeles,90001,1787074345,1787085682.7477,7890,http,186.241.81.60:7890,true,2291.0990715027,155,2,98.726114649682,186.241.81.60
true,1787085682.7458,transparent,6703.5753153767,1710588352.1105,"AS21003 General Post and Telecommunication Company (GPTC)",GPTC-AS,Tripoli,Africa,AF,Libya,LY,,false,"LTT Autonomous System, Tripoli Libya",32.8908,13.1796,false,Rawafed,true,Tripoli,success,Africa/Tripoli,21821,1787052767,1787085682.7458,8080,http,102.68.128.210:8080,true,6142.1136856079,44318,438249,9.1838024564465,102.68.128.210
true,1787061267.5335,anonymous,1528.7672783155,1722429116.2306,"AS4755 TATA Communications formerly VSNL is Leading ISP",TATACOMM-AS,Kolkata,Asia,AS,India,IN,,false,"Tata Communications Limited",22.5643,88.3693,false,"Tata Communications Limited",true,"West Bengal",success,Asia/Kolkata,700001,1786968104,1787085682.7292,80,http,219.65.73.81:80,false,467.82875061035,456157,96754,82.500981170568,219.65.73.81
true,1787085633.1536,elite,3845.4494219169,1786691787.0911,"AS209207 Digital Hosting Provider LLC",DHOST-AS,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Digital Hosting Provider LLC",50.1084,8.6837,false,"Digital Hosting Provider LLC",false,Hesse,success,Europe/Berlin,60311,1786691795,1787085682.7045,30000,socks5,147.45.39.160:30000,true,1245.9743022919,1504,6442,18.927762396174,147.45.39.160
true,1787085568.6642,elite,6900.8198295731,1786201159.8263,"AS62005 BlueVPS OU",BV-EU-AS,Amsterdam,Europe,EU,Netherlands,NL,,true,"BlueVPS OU",52.3675,4.9041,false,"LLC Baxet",true,"North Holland",success,Europe/Amsterdam,,1786804470,1787085682.6711,8888,http,62.106.66.13:8888,false,518.57328414917,1660,6670,19.927971188475,62.106.66.13
true,1787085563.9053,transparent,6505.2089975222,1786872659.5133,"AS52468 UFINET PANAMA S.A.","UFINET PANAMA S.A.",Barranquilla,"South America",SA,Colombia,CO,,false,"Ufinet Panama S.A.",10.9711,-74.7837,false,UFINET,false,Atlántico,success,America/Bogota,080001,1786871888,1787085682.6655,999,http,190.60.61.50:999,true,3817.3310756683,747,1518,32.980132450331,190.60.61.50
true,1787085682.575,transparent,6090.8452273135,1786520310.3418,"AS3269 Telecom Italia S.p.A.",ASN-IBSNAZ,Rome,Europe,EU,Italy,IT,,false,INTERBUSINESS,41.8905,12.5127,false,"NAS DHCP Pool Roma pop2",false,Lazio,success,Europe/Rome,00157,1786517353,1787085682.575,8081,http,79.54.119.155:8081,false,2982.8436374664,1657,4062,28.973596782654,79.54.119.155
true,1787085641.7484,elite,1318.2177988274,1784091710.6977,"AS31898 Oracle Corporation",ORACLE-BMC-31898,Stockholm,Europe,EU,Sweden,SE,,true,"Oracle Corporation",59.2484,18.1223,false,"Oracle Corporation",true,"Stockholm County",success,Europe/Stockholm,"128 62",1786510137,1787085682.5737,1080,socks5,79.76.59.115:1080,true,129.7721862793,37624,34891,51.884437702544,79.76.59.115
true,1786756800.6033,elite,110.5060405796,1786064258.3548,"AS51396 Pfcloud UG",PFCLOUD,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Pfcloud UG",50.8897,6.0563,false,"Intelligence Hosting LLC",false,Limburg,success,Europe/Amsterdam,6471,1786668427,1787085682.5642,3128,http,204.76.203.9:3128,true,66.064357757568,18246,9,99.950698438784,204.76.203.9
true,1787085635.981,elite,5506.2774572878,1786260830.076,"AS214036 Ultahost, Inc.",ULTAHOST-AS,Madrid,Europe,EU,Spain,ES,,true,"Ultahost, Inc.",40.4167,-3.70329,false,"Ultahost Inc",false,Madrid,success,Europe/Madrid,28070,1786864082,1787085682.5485,1080,socks4,192.142.52.65:1080,true,5648.9546298981,6799,19600,25.754763438009,192.142.52.65
true,1787085453.6099,transparent,4970.0393391947,1783278714.994,"AS216472 High Speed For Internet Services L.L.C",HS-SYR,Paris,Europe,EU,France,FR,,false,"High Speed For Internet Services L.L.C",48.8575,2.35138,false,ipbnb,true,Île-de-France,success,Europe/Paris,75000,1786905496,1787085682.4901,8080,http,191.44.125.8:8080,false,4651.8144607544,9159,25651,26.311404768745,191.44.125.8
true,1787085147.9123,elite,4788.5686900688,1783289832.5287,"AS31898 Oracle Corporation",ORACLE-BMC-31898,Tokyo,Asia,AS,Japan,JP,,true,"Oracle Corporation",35.798,140.1803,false,"Oracle Cloud Infrastructure (ap-tokyo-1)",true,Tokyo,success,Asia/Tokyo,270-1351,1786916903,1787085682.453,3128,http,140.238.32.108:3128,true,11515.190601349,45899,8065,85.054851382403,140.238.32.108
true,1787085682.4429,elite,10763.171385604,1780432454.8882,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.353,-121.9544,false,"Tencent Cloud Computing",true,California,success,America/Los_Angeles,95052,1787082475,1787085682.4429,9050,socks5,43.153.62.53:9050,true,1029.646396637,11994,62436,16.114469971786,43.153.62.53
true,1787085682.429,elite,915.66886029721,1696977948.9063,"AS46562 Performive LLC",PERFORMIVE,"Beverly Hills","North America",NA,"United States",US,,false,"Performive LLC",34.0625,-118.384,false,"ZeroLag Communications",true,California,success,America/Los_Angeles,90211,1786971605,1787085682.429,4145,socks4,199.102.104.70:4145,true,805.65094947815,414736,989205,29.540842528283,199.102.104.70
true,1787085442.8009,elite,3658.0479274351,1780728300.0089,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,"Frankfurt am Main",Europe,EU,Germany,DE,,false,"Global Connectivity Solutions LLP",50.1109,8.68213,false,"Global Connectivity Solutions LLP",true,Hesse,success,Europe/Berlin,60313,1787042765,1787085682.3937,1080,http,85.234.100.149:1080,false,2097.7897644043,46726,11126,80.768167046947,85.234.100.149
true,1787085682.273,elite,4211.641819078,1710725297.0892,"AS18809 Cable Onda","Cable Onda","Panama City","North America",NA,Panama,PA,,false,"Cable Onda",8.9948,-79.523,false,"PARSA, S.A",true,"Provincia de Panamá",success,America/Panama,34002,1786549407,1787085682.273,9900,socks4,190.140.31.195:9900,true,897.00078964233,31836,770273,3.9690366271916,190.140.31.195
true,1787085682.2299,transparent,5699.7726851705,1772922896.1818,"AS133817 PT Inti Data Telematika",INTIDATA-AS-ID,Jakarta,Asia,AS,Indonesia,ID,,false,INTI,-6.2114,106.8446,false,,true,Jakarta,success,Asia/Jakarta,60000,1787007933,1787085682.2299,8080,http,103.53.79.198:8080,false,3693.6340332031,7005,29266,19.312949739461,103.53.79.198
true,1787085165.5262,elite,2688.8209658309,1710558779.6442,"AS20632 PJSC MegaFon",PETERSTAR-AS,"St Petersburg",Europe,EU,Russia,RU,,false,"PJSC Megafon SZF",59.9311,30.3609,false,"JSC PeterStar",true,St.-Petersburg,success,Europe/Moscow,,1787023639,1787085682.1884,3128,http,46.47.197.210:3128,false,158.87761116028,447257,290853,60.594897779464,46.47.197.210
true,1787085658.0501,elite,2989.9399019746,1776088888.3407,"AS138296 Juweriyah Networks Private Limited",STARNET7-AS,Mumbai,Asia,AS,India,IN,,false,Ankhnet,19.0748,72.8856,false,"Ankhnet Informations Pvt Ltd",true,Maharashtra,success,Asia/Kolkata,400037,1786972184,1787085682.1876,51951,socks4,202.179.83.169:51951,true,7906.3243865967,234200,246836,48.686584787833,202.179.83.169
